Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:31:43.843746,18:31:52.766162,1,-1.0
1,18:31:43.843746,18:31:53.482355,1,-1.0
1,18:31:43.843746,18:31:54.642518,1,-1.0
1,18:31:43.843746,18:31:54.879472,1,-1.0
1,18:31:43.843746,18:31:55.092562,1,-1.0
1,18:31:43.843746,18:31:55.306980,1,-1.0
1,18:31:43.843746,18:31:55.531592,1,-1.0
1,18:31:43.843746,18:31:55.735353,1,-1.0
1,18:31:43.843746,18:31:57.302263,-1,-1.0
1,18:31:43.843746,18:31:57.588742,-1,-1.0
1,18:31:43.843746,18:31:57.813248,-1,-1.0
1,18:31:43.843746,18:31:58.057563,-1,-1.0
1,18:31:43.843746,18:31:58.303074,-1,-1.0
1,18:31:43.843746,18:31:58.548556,-1,-1.0
1,18:31:43.843746,18:31:58.827882,-1,-1.0
1,18:31:43.843746,18:31:59.155526,-1,-1.0
1,18:31:43.843746,18:31:59.473300,-1,-1.0
1,18:31:43.843746,18:31:59.801889,-1,-1.0
1,18:31:43.843746,18:32:00.129056,-1,-1.0
1,18:31:43.843746,18:32:00.510232,-1,-1.0
1,18:31:43.843746,18:32:00.817454,-1,-1.0
1,18:31:43.843746,18:32:01.157922,-1,-1.0
1,18:31:43.843746,18:32:06.840132,-1,-1.0
1,18:31:43.843746,18:32:07.849385,-1,-1.0
1,18:31:43.843746,18:32:11.103893,-1,-1.0
1,18:31:43.843746,18:32:12.189402,1,-1.0
