Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,18:32:21.574438,18:32:26.933181,1,-1.0
1,18:32:21.574438,18:32:27.582731,1,-1.0
1,18:32:21.574438,18:32:28.257415,1,-1.0
1,18:32:21.574438,18:32:28.928415,1,-1.0
1,18:32:21.574438,18:32:29.601123,1,-1.0
1,18:32:21.574438,18:32:30.356087,1,-1.0
1,18:32:21.574438,18:32:31.145321,1,-1.0
1,18:32:21.574438,18:32:32.230658,1,-1.0
1,18:32:21.574438,18:32:32.943800,1,-1.0
1,18:32:21.574438,18:32:33.719929,1,-1.0
1,18:32:21.574438,18:32:38.188726,-1,-1.0
1,18:32:21.574438,18:32:39.244891,-1,-1.0
1,18:32:21.574438,18:32:39.834476,-1,-1.0
1,18:32:21.574438,18:32:40.352636,-1,-1.0
1,18:32:21.574438,18:32:42.437094,-1,-1.0
1,18:32:21.574438,18:32:43.339059,-1,-1.0
1,18:32:21.574438,18:32:44.307101,1,-1.0
1,18:32:21.574438,18:32:44.823119,1,-1.0
1,18:32:21.574438,18:32:45.317155,1,-1.0
1,18:32:21.574438,18:32:45.823992,1,-1.0
1,18:32:21.574438,18:32:46.293219,1,-1.0
1,18:32:21.574438,18:32:46.787662,1,-1.0
1,18:32:21.574438,18:32:47.272284,1,-1.0
1,18:32:21.574438,18:32:47.775324,1,-1.0
1,18:32:21.574438,18:32:48.322345,1,-1.0
1,18:32:21.574438,18:32:48.799184,1,-1.0
1,18:32:21.574438,18:32:49.292616,1,-1.0
1,18:32:21.574438,18:32:49.830705,1,-1.0
1,18:32:21.574438,18:32:50.567509,1,-1.0
1,18:32:21.574438,18:32:51.711285,-1,-1.0
1,18:32:21.574438,18:32:52.625440,-1,-1.0
1,18:32:21.574438,18:32:53.132733,-1,-1.0
1,18:32:21.574438,18:32:53.578460,-1,-1.0
1,18:32:21.574438,18:32:54.042227,-1,-1.0
1,18:32:21.574438,18:32:55.091083,-1,-1.0
1,18:32:21.574438,18:32:55.741161,1,-1.0
1,18:32:21.574438,18:32:56.037525,1,-1.0
1,18:32:21.574438,18:32:56.312431,1,-1.0
1,18:32:21.574438,18:32:56.556697,1,-1.0
1,18:32:21.574438,18:32:56.821076,1,-1.0
1,18:32:21.574438,18:32:57.085129,1,-1.0
1,18:32:21.574438,18:32:57.370576,1,-1.0
1,18:32:21.574438,18:32:57.635937,1,-1.0
1,18:32:21.574438,18:32:57.914426,1,-1.0
1,18:32:21.574438,18:32:58.296814,1,-1.0
1,18:32:21.574438,18:32:58.593952,1,-1.0
1,18:32:21.574438,18:32:58.909331,1,-1.0
1,18:32:21.574438,18:32:59.242648,1,-1.0
1,18:32:21.574438,18:32:59.577306,1,-1.0
1,18:32:21.574438,18:32:59.956765,1,-1.0
1,18:32:21.574438,18:33:00.335695,1,-1.0
1,18:32:21.574438,18:33:00.788994,1,-1.0
1,18:32:21.574438,18:33:01.288764,1,-1.0
1,18:32:21.574438,18:33:02.005055,1,-1.0
1,18:32:21.574438,18:33:02.722584,1,-1.0
1,18:32:21.574438,18:33:03.242097,1,-1.0
1,18:32:21.574438,18:33:03.740952,1,-1.0
1,18:32:21.574438,18:33:04.328625,1,-1.0
1,18:32:21.574438,18:33:05.579132,1,-1.0
1,18:32:21.574438,18:33:06.150741,-1,-1.0
1,18:32:21.574438,18:33:06.425804,-1,-1.0
1,18:32:21.574438,18:33:06.804802,-1,-1.0
1,18:32:21.574438,18:33:07.185585,-1,-1.0
1,18:32:21.574438,18:33:07.565436,-1,-1.0
1,18:32:21.574438,18:33:07.977577,-1,-1.0
1,18:32:21.574438,18:33:08.412391,-1,-1.0
1,18:32:21.574438,18:33:09.035310,1,-1.0
1,18:32:21.574438,18:33:09.271521,1,-1.0
1,18:32:21.574438,18:33:09.494581,1,-1.0
1,18:32:21.574438,18:33:09.725483,1,-1.0
1,18:32:21.574438,18:33:09.967223,1,-1.0
1,18:32:21.574438,18:33:10.220524,1,-1.0
1,18:32:21.574438,18:33:10.474091,1,-1.0
1,18:32:21.574438,18:33:10.748162,1,-1.0
1,18:32:21.574438,18:33:11.033298,1,-1.0
1,18:32:21.574438,18:33:11.310232,1,-1.0
1,18:32:21.574438,18:33:11.592499,1,-1.0
1,18:32:21.574438,18:33:11.879380,1,-1.0
1,18:32:21.574438,18:33:12.188298,1,-1.0
1,18:32:21.574438,18:33:12.525513,1,-1.0
1,18:32:21.574438,18:33:12.863355,1,-1.0
1,18:32:21.574438,18:33:13.246004,1,-1.0
1,18:32:21.574438,18:33:13.628031,1,-1.0
1,18:32:21.574438,18:33:14.218524,1,-1.0
1,18:32:21.574438,18:33:14.703792,1,-1.0
1,18:32:21.574438,18:33:15.241404,1,-1.0
1,18:32:21.574438,18:33:15.727453,1,-1.0
1,18:32:21.574438,18:33:16.387596,1,-1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,18:33:17.758509,18:33:25.490637,1,-1.0
2,18:33:17.758509,18:33:25.868662,1,-1.0
2,18:33:17.758509,18:33:26.268401,1,-1.0
2,18:33:17.758509,18:33:26.702349,1,-1.0
2,18:33:17.758509,18:33:27.175461,1,-1.0
2,18:33:17.758509,18:33:27.630819,1,-1.0
2,18:33:17.758509,18:33:28.047211,1,-1.0
2,18:33:17.758509,18:33:28.460322,1,-1.0
2,18:33:17.758509,18:33:28.934514,1,-1.0
2,18:33:17.758509,18:33:29.453128,1,-1.0
2,18:33:17.758509,18:33:30.885622,-1,-1.0
2,18:33:17.758509,18:33:31.433816,-1,-1.0
2,18:33:17.758509,18:33:31.887477,-1,-1.0
2,18:33:17.758509,18:33:32.984739,1,-1.0
2,18:33:17.758509,18:33:33.364138,1,-1.0
2,18:33:17.758509,18:33:33.597762,1,-1.0
2,18:33:17.758509,18:33:33.849803,1,-1.0
2,18:33:17.758509,18:33:34.145202,1,-1.0
2,18:33:17.758509,18:33:34.469394,1,-1.0
2,18:33:17.758509,18:33:34.927506,1,-1.0
2,18:33:17.758509,18:33:35.549224,1,-1.0
2,18:33:17.758509,18:33:36.002019,1,-1.0
2,18:33:17.758509,18:33:36.531191,1,-1.0
2,18:33:17.758509,18:33:37.137269,1,-1.0
2,18:33:17.758509,18:33:37.810525,1,-1.0
2,18:33:17.758509,18:33:38.422979,1,-1.0
2,18:33:17.758509,18:33:39.044253,1,-1.0
2,18:33:17.758509,18:33:40.377044,1,-1.0
2,18:33:17.758509,18:33:44.292210,-1,-1.0
2,18:33:17.758509,18:33:45.368729,1,-1.0
2,18:33:17.758509,18:33:45.788582,1,-1.0
2,18:33:17.758509,18:33:46.324644,1,-1.0
