Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,15:45:28.207978,15:46:48.033387,-1,-1.0
1,15:45:28.207978,15:46:48.229521,-1,-1.0
1,15:45:28.207978,15:46:49.064254,-1,-1.0
1,15:45:28.207978,15:46:49.231242,-1,-1.0
1,15:45:28.207978,15:46:49.399896,-1,-1.0
1,15:45:28.207978,15:46:49.563756,-1,-1.0
1,15:45:28.207978,15:46:49.717545,-1,-1.0
1,15:45:28.207978,15:46:49.858927,-1,-1.0
1,15:45:28.207978,15:46:50.003497,-1,-1.0
1,15:45:28.207978,15:46:50.138133,-1,-1.0
1,15:45:28.207978,15:46:50.271192,-1,-1.0
1,15:45:28.207978,15:46:50.438125,-1,-1.0
1,15:45:28.207978,15:46:50.938566,-1,-1.0
1,15:45:28.207978,15:46:51.239779,-1,-1.0
1,15:45:28.207978,15:46:51.454546,-1,-1.0
1,15:45:28.207978,15:46:51.680344,-1,-1.0
1,15:45:28.207978,15:46:53.043484,1,-1.0
1,15:45:28.207978,15:46:53.232098,1,-1.0
1,15:45:28.207978,15:46:53.425640,1,-1.0
1,15:45:28.207978,15:46:53.568163,1,-1.0
1,15:45:28.207978,15:46:53.743287,1,-1.0
1,15:45:28.207978,15:46:53.891256,1,-1.0
1,15:45:28.207978,15:46:54.045430,1,-1.0
1,15:45:28.207978,15:46:54.200014,1,-1.0
1,15:45:28.207978,15:46:54.342536,1,-1.0
1,15:45:28.207978,15:46:54.495533,1,-1.0
1,15:45:28.207978,15:46:54.629411,1,-1.0
1,15:45:28.207978,15:46:54.765340,1,-1.0
1,15:45:28.207978,15:46:54.913300,1,-1.0
1,15:45:28.207978,15:46:55.057851,1,-1.0
1,15:45:28.207978,15:46:55.192192,1,-1.0
1,15:45:28.207978,15:46:55.336208,1,-1.0
1,15:45:28.207978,15:46:55.470222,1,-1.0
1,15:45:28.207978,15:46:55.610298,1,-1.0
1,15:45:28.207978,15:46:55.906665,1,-1.0
1,15:45:28.207978,15:46:56.020452,1,-1.0
1,15:45:28.207978,15:46:56.150686,1,-1.0
1,15:45:28.207978,15:46:56.291877,1,-1.0
1,15:45:28.207978,15:46:56.434680,1,-1.0
1,15:45:28.207978,15:46:56.598111,1,-1.0
1,15:45:28.207978,15:46:56.720713,1,-1.0
1,15:45:28.207978,15:46:56.844129,1,-1.0
1,15:45:28.207978,15:46:57.000777,1,-1.0
1,15:45:28.207978,15:46:57.229473,1,-1.0
1,15:45:28.207978,15:46:57.376728,1,-1.0
1,15:45:28.207978,15:46:57.540830,1,-1.0
1,15:45:28.207978,15:46:57.683427,1,-1.0
1,15:45:28.207978,15:46:57.802737,1,-1.0
1,15:45:28.207978,15:46:57.934506,1,-1.0
1,15:45:28.207978,15:46:58.089549,1,-1.0
1,15:45:28.207978,15:46:58.234576,1,-1.0
1,15:45:28.207978,15:46:58.365291,1,-1.0
1,15:45:28.207978,15:46:58.528222,1,-1.0
1,15:45:28.207978,15:46:58.724001,1,-1.0
1,15:45:28.207978,15:46:58.858073,1,-1.0
1,15:45:28.207978,15:46:59.032280,1,-1.0
1,15:45:28.207978,15:46:59.764437,-1,-1.0
1,15:45:28.207978,15:46:59.923690,-1,-1.0
1,15:45:28.207978,15:47:00.106953,-1,-1.0
1,15:45:28.207978,15:47:00.722798,-1,-1.0
1,15:45:28.207978,15:47:00.912516,-1,-1.0
1,15:45:28.207978,15:47:01.088068,-1,-1.0
1,15:45:28.207978,15:47:01.316707,1,-1.0
1,15:45:28.207978,15:47:01.488107,-1,-1.0
1,15:45:28.207978,15:47:01.734966,1,-1.0
1,15:45:28.207978,15:47:01.828070,-1,-1.0
